1. 'AI 서울 정상회의' 성과 글로벌에 알린다…과기정통부, ITU 행사 참가
2. LG이노텍, "AI로 카메라모듈 불량률 최대 90% 줄였다"
3. "설악산 코스 알려줘" 인공지능에게 물었더니...
4. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
5. 에듀템, 동아출판 AI디지털교과서에 AI(인공지능) 솔루션 공급
6. KT "AI 교육 챗봇 기술 필요해요"했더니 스타트업이 사업 역제안
7. KAIST, 英 앨런 튜링 연구소와 인공지능 연구 협약
8. 국내 인공지능 분야의 중심 될 ‘서울 AI허브’ 핵심시설 개관 [오늘, 특별시...
9. 경기도 `경기노인 AI+돌봄` 추진,,,노인정책에 인공지능 도입
10. 국립부산과학관, 인공지능 교육프로그램 2급 과정 개설
11. SK스토아, AI 기반 의류 사이즈 추천 서비스 도입
12. 산불도 인공지능으로 잡아낸다…경남도, ICT 플랫폼 가동
13. 중앙대, 제7회 인공지능인문학 국제학술대회 개최
14. 인공지능 기술창업 육성 전문기관 '서울 AI 허브' 개관
15. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
16. "인공지능 인프라 깔린 광주, 이제는 사람과 교통"
17. 대웅제약-KMI, 인공지능 심전도검사 ‘모비케어·에띠아’ 본격시행
18. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
19. 경남로봇랜드재단, 순천 학생들에게 로봇·인공지능 체험 제공
20. 에듀템, 동아출판 AI디지털교과서에 AI(인공지능) 솔루션 공급
